127.0.0.1 - - [14/Apr/2024:20:47:04 -0500] "GET / HTTP/1.1" 200 556
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Pages/landing.jsp HTTP/1.1" 200 1716
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Styles/style.css HTTP/1.1" 200 122486
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Images/chat.png HTTP/1.1" 200 8192
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Images/online-learning.png HTTP/1.1" 200 8192
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Images/communities.png HTTP/1.1" 200 8192
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Images/webinar.png HTTP/1.1" 200 8192
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Images/exchange-rate.png HTTP/1.1" 200 8192
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /Images/knowledge.png HTTP/1.1" 200 8192
127.0.0.1 - - [14/Apr/2024:20:47:07 -0500] "GET /favicon.ico HTTP/1.1" 404 763
127.0.0.1 - - [14/Apr/2024:20:47:09 -0500] "GET /Pages/login.jsp HTTP/1.1" 200 1273
127.0.0.1 - - [14/Apr/2024:20:47:13 -0500] "POST /Pages/login_action.jsp HTTP/1.1" 200 472
127.0.0.1 - - [14/Apr/2024:20:47:14 -0500] "GET /Pages/login.jsp HTTP/1.1" 200 1273
127.0.0.1 - - [14/Apr/2024:20:47:34 -0500] "POST /Pages/login_action.jsp HTTP/1.1" 200 486
127.0.0.1 - - [14/Apr/2024:20:47:34 -0500] "GET /index.jsp HTTP/1.1" 200 556
127.0.0.1 - - [14/Apr/2024:20:47:34 -0500] "GET /Pages/studentHome.jsp HTTP/1.1" 200 3645
127.0.0.1 - - [14/Apr/2024:20:47:34 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:47:56 -0500] "GET /Pages/allGradeReport.jsp HTTP/1.1" 200 1244
127.0.0.1 - - [14/Apr/2024:20:47:56 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:47:56 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:48:01 -0500] "GET /index.jsp HTTP/1.1" 200 556
127.0.0.1 - - [14/Apr/2024:20:48:02 -0500] "GET /Pages/landing.jsp HTTP/1.1" 200 1716
127.0.0.1 - - [14/Apr/2024:20:48:03 -0500] "GET /Pages/login.jsp HTTP/1.1" 200 1273
127.0.0.1 - - [14/Apr/2024:20:48:12 -0500] "POST /Pages/login_action.jsp HTTP/1.1" 200 486
127.0.0.1 - - [14/Apr/2024:20:48:12 -0500] "GET /index.jsp HTTP/1.1" 200 556
127.0.0.1 - - [14/Apr/2024:20:48:12 -0500] "GET /Pages/studentHome.jsp HTTP/1.1" 200 3645
127.0.0.1 - - [14/Apr/2024:20:48:12 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:48:16 -0500] "GET /Pages/courseSearch.jsp HTTP/1.1" 200 3349
127.0.0.1 - - [14/Apr/2024:20:48:17 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:48:17 -0500] "GET /Images/star-full.svg HTTP/1.1" 200 181
127.0.0.1 - - [14/Apr/2024:20:48:19 -0500] "GET /Pages/enrolledCoursesList.jsp HTTP/1.1" 200 2532
127.0.0.1 - - [14/Apr/2024:20:48:19 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:48:19 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:49:30 -0500] "GET /Pages/createCommunity.jsp HTTP/1.1" 200 1119
127.0.0.1 - - [14/Apr/2024:20:49:30 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:51:35 -0500] "GET /Pages/profile.jsp HTTP/1.1" 200 2323
127.0.0.1 - - [14/Apr/2024:20:51:36 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:20:51:36 -0500] "GET /Images/user-solid-circle.svg HTTP/1.1" 200 210
127.0.0.1 - - [14/Apr/2024:21:06:32 -0500] "GET /Pages/allGradeReport.jsp HTTP/1.1" 200 1244
127.0.0.1 - - [14/Apr/2024:21:06:32 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:21:06:32 -0500] "GET /Scripts/userTypeLocalStorageAuthPageCheck.js HTTP/1.1" 404 800
127.0.0.1 - - [14/Apr/2024:21:06:39 -0500] "GET /index.jsp HTTP/1.1" 200 556
127.0.0.1 - - [14/Apr/2024:21:06:39 -0500] "GET /Pages/landing.jsp HTTP/1.1" 200 1716
